score,objective,bagging_fraction,learning_rate,num_iterations,num_leaves,feature_fraction,boosting_type
0.549,binary;,1.0,0.05,500,2048,1.0,gbdt
0.549,binary;,1.0,0.05,500,512,0.5,gbdt
0.549,binary;,0.5,0.05,500,512,0.5,gbdt
0.549,binary;,0.8,0.05,500,512,0.5,gbdt
0.549,binary;,1.0,0.05,500,2048,0.8,gbdt
0.549,binary;,0.5,0.05,500,2048,0.8,gbdt
0.550,binary;,0.8,0.05,500,1024,0.8,gbdt
0.550,binary;,0.5,0.05,1000,2048,0.8,gbdt
0.550,binary;,1.0,0.05,500,1024,1.0,gbdt
0.550,binary;,1.0,0.05,1000,2048,0.8,gbdt
0.550,binary;,0.8,0.05,1000,2048,0.8,gbdt
0.550,binary;,0.8,0.005,500,1024,0.8,gbdt
0.550,binary;,1.0,0.005,500,1024,0.8,gbdt
0.550,binary;,0.5,0.005,500,1024,0.8,gbdt
0.550,binary;,0.8,0.005,500,2048,0.8,gbdt
0.550,binary;,1.0,0.005,500,2048,0.8,gbdt
0.550,binary;,1.0,0.05,500,1024,0.8,gbdt
0.550,binary;,0.5,0.05,500,1024,0.8,gbdt
0.550,binary;,0.5,0.005,500,2048,0.8,gbdt
0.550,binary;,0.8,0.05,500,1024,1.0,gbdt
0.550,binary;,0.5,0.05,500,1024,1.0,gbdt
0.551,binary;,0.8,0.005,500,1024,1.0,gbdt
0.551,binary;,0.8,0.005,500,512,0.8,gbdt
0.551,binary;,0.5,0.005,500,512,0.8,gbdt
0.551,binary;,1.0,0.005,500,512,0.8,gbdt
0.551,binary;,0.5,0.005,500,1024,1.0,gbdt
0.551,binary;,1.0,0.005,500,1024,1.0,gbdt
0.551,binary;,1.0,0.05,500,2048,0.5,gbdt
0.551,binary;,0.5,0.05,500,2048,0.5,gbdt
0.551,binary;,0.8,0.05,500,2048,0.5,gbdt
0.551,binary;,0.8,0.05,1000,2048,0.5,gbdt
0.551,binary;,1.0,0.05,1000,2048,0.5,gbdt
0.551,binary;,0.5,0.05,1000,2048,0.5,gbdt
0.552,binary;,0.8,0.05,1000,512,1.0,gbdt
0.552,binary;,0.5,0.05,1000,512,1.0,gbdt
0.552,binary;,0.5,0.05,1000,1024,0.8,gbdt
0.552,binary;,1.0,0.05,1000,1024,0.8,gbdt
0.552,binary;,0.5,0.05,1000,1024,1.0,gbdt
0.552,binary;,0.8,0.05,1000,1024,1.0,gbdt
